knob,arm,section,branch,stage_m_msl,above_attainable_max,p_f_baseline,p_f_arm,ratio_arm_to_baseline,anchor,p_f_trans_baseline_at_stage
m_p,m_p,KP60.0,transient,46.5,False,0.91487,0.90957,0.994207,,0.91487
m_p,m_p,KP60.0,transient,46.75,False,0.93074,0.9262,0.995122,grid_top,0.93074
m_p,m_p,KP62.0,transient,41.75,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,transient,43.25,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,transient,44.5,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,transient,45.0,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,transient,45.25,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,transient,45.5,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,transient,45.75,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,transient,46.0,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,transient,46.25,False,1e-05,2e-05,2.0,lowest_reachable,1e-05
m_p,m_p,KP62.0,transient,46.5,False,0.00013,0.00032,2.461538,design_hwl,0.00013
m_p,m_p,KP62.0,transient,46.75,False,0.00101,0.00178,1.762376,rising_limb,0.00101
m_p,m_p,KP62.0,transient,47.0,False,0.00411,0.00623,1.515815,,0.00411
m_p,m_p,KP62.0,transient,47.25,False,0.01198,0.01579,1.31803,,0.01198
m_p,m_p,KP62.0,transient,47.5,False,0.0276,0.03478,1.260145,,0.0276
m_p,m_p,KP62.0,transient,47.75,False,0.0539,0.0622,1.153989,,0.0539
m_p,m_p,KP62.0,transient,48.0,False,0.08951,0.09945,1.111049,,0.08951
m_p,m_p,KP62.0,transient,48.25,False,0.13527,0.14636,1.081984,,0.13527
m_p,m_p,KP62.0,transient,48.5,False,0.191,0.20136,1.054241,,0.191
m_p,m_p,KP62.0,transient,48.75,False,0.2532,0.2623,1.03594,,0.2532
m_p,m_p,KP62.0,transient,49.0,False,0.31654,0.32471,1.02581,,0.31654
m_p,m_p,KP62.0,transient,49.25,False,0.3823,0.38738,1.013288,,0.3823
m_p,m_p,KP62.0,transient,49.5,False,0.4464,0.44928,1.006452,,0.4464
m_p,m_p,KP62.0,transient,49.75,False,0.50765,0.5088,1.002265,transition_midpoint,0.50765
m_p,m_p,KP62.0,transient,50.0,False,0.56586,0.56514,0.998728,,0.56586
m_p,m_p,KP62.0,transient,50.25,False,0.61911,0.61695,0.996511,,0.61911
m_p,m_p,KP62.0,transient,50.5,False,0.66622,0.66435,0.997193,,0.66622
m_p,m_p,KP62.0,transient,51.0,True,0.74869,0.74406,0.993816,,0.74869
m_p,m_p,KP62.0,transient,51.5,True,0.81146,0.80671,0.994146,,0.81146
m_p,m_p,KP62.0,transient,52.0,True,0.85969,0.85535,0.994952,,0.85969
m_p,m_p,KP62.0,transient,52.5,True,0.89624,0.89154,0.994756,,0.89624
m_p,m_p,KP62.0,transient,53.0,True,0.92229,0.91864,0.996042,,0.92229
m_p,m_p,KP62.0,transient,53.5,True,0.94163,0.93892,0.997122,,0.94163
m_p,m_p,KP62.0,transient,54.0,True,0.95577,0.95418,0.998336,,0.95577
m_p,m_p,KP62.0,transient,54.5,True,0.96719,0.9652,0.997942,,0.96719
