bracket,kind,section,anchor,stage_m_msl,above_attainable_max,p_f_trans_baseline,n_failures_trans_baseline,span_trans,moves_both_branches,cancellation_arm,max_resolved_departure_factor
gamma_bl_sub_prior_mean,epistemic,KP57.4,grid_top,43.25,False,0.94361,94361,1.00,False,gamma_bl_sub_lower,1.3571
gamma_bl_sub_prior_mean,epistemic,KP58.8,lowest_reachable,39.75,False,0.00011,11,1.18,False,gamma_bl_sub_lower,1.0913
gamma_bl_sub_prior_mean,epistemic,KP58.8,rising_limb,40.0,False,0.00241,241,1.09,False,gamma_bl_sub_lower,1.0913
gamma_bl_sub_prior_mean,epistemic,KP58.8,design_hwl,41.0,False,0.19736,19736,1.00,False,gamma_bl_sub_lower,1.0913
gamma_bl_sub_prior_mean,epistemic,KP58.8,transition_midpoint,41.75,False,0.51725,51725,1.00,False,gamma_bl_sub_lower,1.0913
gamma_bl_sub_prior_mean,epistemic,KP58.8,grid_top,45.0,False,0.98278,98278,1.00,False,gamma_bl_sub_lower,1.0913
gamma_bl_sub_prior_mean,epistemic,KP60.0,lowest_reachable,41.5,False,1e-05,1,1.00,False,gamma_bl_sub_lower,1.0256
gamma_bl_sub_prior_mean,epistemic,KP60.0,rising_limb,42.0,False,0.00195,195,1.03,False,gamma_bl_sub_lower,1.0256
gamma_bl_sub_prior_mean,epistemic,KP60.0,design_hwl,42.75,False,0.05579,5579,1.00,False,gamma_bl_sub_lower,1.0256
gamma_bl_sub_prior_mean,epistemic,KP60.0,transition_midpoint,44.25,False,0.50062,50062,1.00,False,gamma_bl_sub_lower,1.0256
gamma_bl_sub_prior_mean,epistemic,KP60.0,grid_top,46.75,False,0.93074,93074,1.00,False,gamma_bl_sub_lower,1.0256
gamma_bl_sub_prior_mean,epistemic,KP62.0,lowest_reachable,46.25,False,1e-05,1,1.00,False,gamma_bl_sub_lower,1.0003
gamma_bl_sub_prior_mean,epistemic,KP62.0,rising_limb,46.75,False,0.00101,101,1.00,False,gamma_bl_sub_lower,1.0003
gamma_bl_sub_prior_mean,epistemic,KP62.0,design_hwl,46.5,False,0.00013,13,1.00,False,gamma_bl_sub_lower,1.0003
gamma_bl_sub_prior_mean,epistemic,KP62.0,transition_midpoint,49.75,False,0.50765,50765,1.00,False,gamma_bl_sub_lower,1.0003
gamma_bl_sub_prior_mean,epistemic,KP62.0,grid_top,56.5,True,0.9888,98880,1.00,False,gamma_bl_sub_lower,1.0003
clopper_pearson,statistical,KP57.4,lowest_reachable,39.5,False,0.00014,14,3.07,True,,
clopper_pearson,statistical,KP57.4,rising_limb,39.75,False,0.00295,295,1.26,True,,
clopper_pearson,statistical,KP57.4,design_hwl,39.25,False,0.0,0,not_defined,True,,
clopper_pearson,statistical,KP57.4,transition_midpoint,41.25,False,0.4773,47730,1.01,True,,
clopper_pearson,statistical,KP57.4,grid_top,43.25,False,0.94361,94361,1.00,True,,
clopper_pearson,statistical,KP58.8,lowest_reachable,39.75,False,0.00011,11,3.58,True,,
clopper_pearson,statistical,KP58.8,rising_limb,40.0,False,0.00241,241,1.29,True,,
clopper_pearson,statistical,KP58.8,design_hwl,41.0,False,0.19736,19736,1.03,True,,
clopper_pearson,statistical,KP58.8,transition_midpoint,41.75,False,0.51725,51725,1.01,True,,
clopper_pearson,statistical,KP58.8,grid_top,45.0,False,0.98278,98278,1.00,True,,
clopper_pearson,statistical,KP60.0,lowest_reachable,41.5,False,1e-05,1,220,True,,
clopper_pearson,statistical,KP60.0,rising_limb,42.0,False,0.00195,195,1.33,True,,
clopper_pearson,statistical,KP60.0,design_hwl,42.75,False,0.05579,5579,1.05,True,,
clopper_pearson,statistical,KP60.0,transition_midpoint,44.25,False,0.50062,50062,1.01,True,,
clopper_pearson,statistical,KP60.0,grid_top,46.75,False,0.93074,93074,1.00,True,,
clopper_pearson,statistical,KP62.0,lowest_reachable,46.25,False,1e-05,1,220,True,,
clopper_pearson,statistical,KP62.0,rising_limb,46.75,False,0.00101,101,1.49,True,,
clopper_pearson,statistical,KP62.0,design_hwl,46.5,False,0.00013,13,3.21,True,,
clopper_pearson,statistical,KP62.0,transition_midpoint,49.75,False,0.50765,50765,1.01,True,,
