river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,4,overflow,historical,39,0.001
Satsunai,left,4,overflow,historical,39.2,0.0052
Satsunai,left,4,overflow,historical,39.4,0.0216
Satsunai,left,4,overflow,historical,39.6,0.0731
Satsunai,left,4,overflow,historical,39.8,0.1867
Satsunai,left,4,overflow,historical,40,0.3782
Satsunai,left,4,overflow,historical,40.2,0.607
Satsunai,left,4,overflow,historical,40.4,0.8006
Satsunai,left,4,overflow,historical,40.6,0.9207
Satsunai,left,4,overflow,historical,40.8,0.9795
Satsunai,left,4,overflow,historical,41,0.995
Satsunai,left,4,overflow,historical,41.2,0.9994
Satsunai,left,4,overflow,historical,41.4,1
Satsunai,left,4,overflow,historical,41.6,1
Satsunai,left,4,overflow,historical,41.8,1
Satsunai,left,4,overflow,historical,42,1
Satsunai,left,4,overflow,historical,42.2,1
Satsunai,left,4,overflow,historical,42.4,1
Satsunai,left,4,overflow,historical,42.6,1
Satsunai,left,4,overflow,plus4K,35,0
Satsunai,left,4,overflow,plus4K,35.2,0
Satsunai,left,4,overflow,plus4K,35.4,0
Satsunai,left,4,overflow,plus4K,35.6,0
Satsunai,left,4,overflow,plus4K,35.8,0
Satsunai,left,4,overflow,plus4K,36,0
Satsunai,left,4,overflow,plus4K,36.2,0
Satsunai,left,4,overflow,plus4K,36.4,0
Satsunai,left,4,overflow,plus4K,36.6,0
Satsunai,left,4,overflow,plus4K,36.8,0
Satsunai,left,4,overflow,plus4K,37,0
Satsunai,left,4,overflow,plus4K,37.2,0
Satsunai,left,4,overflow,plus4K,37.4,0
Satsunai,left,4,overflow,plus4K,37.6,0
Satsunai,left,4,overflow,plus4K,37.8,0
Satsunai,left,4,overflow,plus4K,38,0
Satsunai,left,4,overflow,plus4K,38.2,0
Satsunai,left,4,overflow,plus4K,38.4,0
Satsunai,left,4,overflow,plus4K,38.6,0
Satsunai,left,4,overflow,plus4K,38.8,0
Satsunai,left,4,overflow,plus4K,39,0.001
Satsunai,left,4,overflow,plus4K,39.2,0.0052
Satsunai,left,4,overflow,plus4K,39.4,0.0216
Satsunai,left,4,overflow,plus4K,39.6,0.0731
Satsunai,left,4,overflow,plus4K,39.8,0.1867
Satsunai,left,4,overflow,plus4K,40,0.3782
Satsunai,left,4,overflow,plus4K,40.2,0.607
Satsunai,left,4,overflow,plus4K,40.4,0.8006
