river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.6,overflow,plus4K,37.2,0.0001
Satsunai,left,3.6,fluvial_scour,plus4K,37.2,0
Satsunai,left,3.6,overflow,plus4K,37.4,0.002
Satsunai,left,3.6,fluvial_scour,plus4K,37.4,0
Satsunai,left,3.6,overflow,plus4K,37.6,0.0146
Satsunai,left,3.6,fluvial_scour,plus4K,37.6,0
Satsunai,left,3.6,overflow,plus4K,37.8,0.0762
Satsunai,left,3.6,fluvial_scour,plus4K,37.8,0
Satsunai,left,3.6,overflow,plus4K,38,0.2221
Satsunai,left,3.6,fluvial_scour,plus4K,38,0
Satsunai,left,3.6,overflow,plus4K,38.2,0.4686
Satsunai,left,3.6,fluvial_scour,plus4K,38.2,0
Satsunai,left,3.6,overflow,plus4K,38.4,0.7326
Satsunai,left,3.6,fluvial_scour,plus4K,38.4,0
Satsunai,left,3.6,overflow,plus4K,38.6,0.9054
Satsunai,left,3.6,fluvial_scour,plus4K,38.6,0
Satsunai,left,3.6,overflow,plus4K,38.8,0.978
Satsunai,left,3.6,fluvial_scour,plus4K,38.8,0
Satsunai,left,3.6,overflow,plus4K,39,0.9975
Satsunai,left,3.6,fluvial_scour,plus4K,39,0
Satsunai,left,3.6,overflow,plus4K,39.2,0.9998
Satsunai,left,3.6,fluvial_scour,plus4K,39.2,0
Satsunai,left,3.6,overflow,plus4K,39.4,1
Satsunai,left,3.6,fluvial_scour,plus4K,39.4,0
Satsunai,left,3.6,overflow,plus4K,39.6,1
Satsunai,left,3.6,fluvial_scour,plus4K,39.6,0
Satsunai,left,3.6,overflow,plus4K,39.8,1
Satsunai,left,3.6,fluvial_scour,plus4K,39.8,0
Satsunai,left,3.6,overflow,plus4K,40,1
Satsunai,left,3.6,fluvial_scour,plus4K,40,0
Satsunai,left,3.6,overflow,plus4K,40.2,1
Satsunai,left,3.6,fluvial_scour,plus4K,40.2,0
Satsunai,left,3.6,overflow,plus4K,40.4,1
Satsunai,left,3.6,fluvial_scour,plus4K,40.4,0
Satsunai,left,3.6,overflow,plus4K,40.6,1
Satsunai,left,3.6,fluvial_scour,plus4K,40.6,0
Satsunai,left,3.6,overflow,plus4K,40.8,1
Satsunai,left,3.6,fluvial_scour,plus4K,40.8,0
Satsunai,left,3.6,overflow,plus4K,41,1
Satsunai,left,3.6,fluvial_scour,plus4K,41,0
Satsunai,left,3.8,overflow,plus4K,34.4,0
Satsunai,left,3.8,fluvial_scour,plus4K,34.4,0
Satsunai,left,3.8,overflow,plus4K,34.6,0
Satsunai,left,3.8,fluvial_scour,plus4K,34.6,0
Satsunai,left,3.8,overflow,plus4K,34.8,0
Satsunai,left,3.8,fluvial_scour,plus4K,34.8,0
Satsunai,left,3.8,overflow,plus4K,35,0
Satsunai,left,3.8,fluvial_scour,plus4K,35,0
Satsunai,left,3.8,overflow,plus4K,35.2,0
Satsunai,left,3.8,fluvial_scour,plus4K,35.2,0
Satsunai,left,3.8,overflow,plus4K,35.4,0
Satsunai,left,3.8,fluvial_scour,plus4K,35.4,0
Satsunai,left,3.8,overflow,plus4K,35.6,0
Satsunai,left,3.8,fluvial_scour,plus4K,35.6,0
Satsunai,left,3.8,overflow,plus4K,35.8,0
Satsunai,left,3.8,fluvial_scour,plus4K,35.8,0
Satsunai,left,3.8,overflow,plus4K,36,0
Satsunai,left,3.8,fluvial_scour,plus4K,36,0
Satsunai,left,3.8,overflow,plus4K,36.2,0
Satsunai,left,3.8,fluvial_scour,plus4K,36.2,0
Satsunai,left,3.8,overflow,plus4K,36.4,0
Satsunai,left,3.8,fluvial_scour,plus4K,36.4,0
Satsunai,left,3.8,overflow,plus4K,36.6,0
Satsunai,left,3.8,fluvial_scour,plus4K,36.6,0
Satsunai,left,3.8,overflow,plus4K,36.8,0
Satsunai,left,3.8,fluvial_scour,plus4K,36.8,0
Satsunai,left,3.8,overflow,plus4K,37,0
Satsunai,left,3.8,fluvial_scour,plus4K,37,0
Satsunai,left,3.8,overflow,plus4K,37.2,0
Satsunai,left,3.8,fluvial_scour,plus4K,37.2,0
Satsunai,left,3.8,overflow,plus4K,37.4,0
Satsunai,left,3.8,fluvial_scour,plus4K,37.4,0
Satsunai,left,3.8,overflow,plus4K,37.6,0
Satsunai,left,3.8,fluvial_scour,plus4K,37.6,0
Satsunai,left,3.8,overflow,plus4K,37.8,0.0001
Satsunai,left,3.8,fluvial_scour,plus4K,37.8,0
Satsunai,left,3.8,overflow,plus4K,38,0.0005
Satsunai,left,3.8,fluvial_scour,plus4K,38,0
Satsunai,left,3.8,overflow,plus4K,38.2,0.0058
Satsunai,left,3.8,fluvial_scour,plus4K,38.2,0
Satsunai,left,3.8,overflow,plus4K,38.4,0.0324
Satsunai,left,3.8,fluvial_scour,plus4K,38.4,0
Satsunai,left,3.8,overflow,plus4K,38.6,0.1293
Satsunai,left,3.8,fluvial_scour,plus4K,38.6,0
Satsunai,left,3.8,overflow,plus4K,38.8,0.3289
Satsunai,left,3.8,fluvial_scour,plus4K,38.8,0
Satsunai,left,3.8,overflow,plus4K,39,0.598
Satsunai,left,3.8,fluvial_scour,plus4K,39,0
Satsunai,left,3.8,overflow,plus4K,39.2,0.8318
Satsunai,left,3.8,fluvial_scour,plus4K,39.2,0
Satsunai,left,3.8,overflow,plus4K,39.4,0.9503
Satsunai,left,3.8,fluvial_scour,plus4K,39.4,0
Satsunai,left,3.8,overflow,plus4K,39.6,0.9903
Satsunai,left,3.8,fluvial_scour,plus4K,39.6,0
Satsunai,left,3.8,overflow,plus4K,39.8,0.999
Satsunai,left,3.8,fluvial_scour,plus4K,39.8,0
Satsunai,left,3.8,overflow,plus4K,40,0.9999
Satsunai,left,3.8,fluvial_scour,plus4K,40,0
Satsunai,left,3.8,overflow,plus4K,40.2,1
Satsunai,left,3.8,fluvial_scour,plus4K,40.2,0
Satsunai,left,3.8,overflow,plus4K,40.4,1
Satsunai,left,3.8,fluvial_scour,plus4K,40.4,0
Satsunai,left,3.8,overflow,plus4K,40.6,1
Satsunai,left,3.8,fluvial_scour,plus4K,40.6,0
Satsunai,left,3.8,overflow,plus4K,40.8,1
Satsunai,left,3.8,fluvial_scour,plus4K,40.8,0
Satsunai,left,3.8,overflow,plus4K,41,1
Satsunai,left,3.8,fluvial_scour,plus4K,41,0
Satsunai,left,3.8,overflow,plus4K,41.2,1
Satsunai,left,3.8,fluvial_scour,plus4K,41.2,0
Satsunai,left,3.8,overflow,plus4K,41.4,1
Satsunai,left,3.8,fluvial_scour,plus4K,41.4,0
Satsunai,left,3.8,overflow,plus4K,41.6,1
Satsunai,left,3.8,fluvial_scour,plus4K,41.6,0
Satsunai,left,3.8,overflow,plus4K,41.8,1
Satsunai,left,3.8,fluvial_scour,plus4K,41.8,0
Satsunai,left,4,overflow,plus4K,35,0
Satsunai,left,4,fluvial_scour,plus4K,35,0
Satsunai,left,4,overflow,plus4K,35.2,0
Satsunai,left,4,fluvial_scour,plus4K,35.2,0
Satsunai,left,4,overflow,plus4K,35.4,0
Satsunai,left,4,fluvial_scour,plus4K,35.4,0
Satsunai,left,4,overflow,plus4K,35.6,0
Satsunai,left,4,fluvial_scour,plus4K,35.6,0
Satsunai,left,4,overflow,plus4K,35.8,0
Satsunai,left,4,fluvial_scour,plus4K,35.8,0
Satsunai,left,4,overflow,plus4K,36,0
Satsunai,left,4,fluvial_scour,plus4K,36,0
Satsunai,left,4,overflow,plus4K,36.2,0
Satsunai,left,4,fluvial_scour,plus4K,36.2,0
Satsunai,left,4,overflow,plus4K,36.4,0
Satsunai,left,4,fluvial_scour,plus4K,36.4,0
Satsunai,left,4,overflow,plus4K,36.6,0
Satsunai,left,4,fluvial_scour,plus4K,36.6,0
Satsunai,left,4,overflow,plus4K,36.8,0
Satsunai,left,4,fluvial_scour,plus4K,36.8,0
Satsunai,left,4,overflow,plus4K,37,0
Satsunai,left,4,fluvial_scour,plus4K,37,0
Satsunai,left,4,overflow,plus4K,37.2,0
Satsunai,left,4,fluvial_scour,plus4K,37.2,0
Satsunai,left,4,overflow,plus4K,37.4,0
Satsunai,left,4,fluvial_scour,plus4K,37.4,0
Satsunai,left,4,overflow,plus4K,37.6,0
Satsunai,left,4,fluvial_scour,plus4K,37.6,0
Satsunai,left,4,overflow,plus4K,37.8,0
Satsunai,left,4,fluvial_scour,plus4K,37.8,0
Satsunai,left,4,overflow,plus4K,38,0
Satsunai,left,4,fluvial_scour,plus4K,38,0
Satsunai,left,4,overflow,plus4K,38.2,0
Satsunai,left,4,fluvial_scour,plus4K,38.2,0
Satsunai,left,4,overflow,plus4K,38.4,0
Satsunai,left,4,fluvial_scour,plus4K,38.4,0
Satsunai,left,4,overflow,plus4K,38.6,0.0001
Satsunai,left,4,fluvial_scour,plus4K,38.6,0
Satsunai,left,4,overflow,plus4K,38.8,0.0014
Satsunai,left,4,fluvial_scour,plus4K,38.8,0
Satsunai,left,4,overflow,plus4K,39,0.0065
Satsunai,left,4,fluvial_scour,plus4K,39,0
Satsunai,left,4,overflow,plus4K,39.2,0.0282
Satsunai,left,4,fluvial_scour,plus4K,39.2,0
Satsunai,left,4,overflow,plus4K,39.4,0.0902
Satsunai,left,4,fluvial_scour,plus4K,39.4,0
Satsunai,left,4,overflow,plus4K,39.6,0.2179
Satsunai,left,4,fluvial_scour,plus4K,39.6,0
Satsunai,left,4,overflow,plus4K,39.8,0.4209
Satsunai,left,4,fluvial_scour,plus4K,39.8,0
Satsunai,left,4,overflow,plus4K,40,0.6467
Satsunai,left,4,fluvial_scour,plus4K,40,0
Satsunai,left,4,overflow,plus4K,40.2,0.828
Satsunai,left,4,fluvial_scour,plus4K,40.2,0
Satsunai,left,4,overflow,plus4K,40.4,0.9354
Satsunai,left,4,fluvial_scour,plus4K,40.4,0
Satsunai,left,4,overflow,plus4K,40.6,0.9842
Satsunai,left,4,fluvial_scour,plus4K,40.6,0
Satsunai,left,4,overflow,plus4K,40.8,0.9972
Satsunai,left,4,fluvial_scour,plus4K,40.8,0
Satsunai,left,4,overflow,plus4K,41,0.9996
Satsunai,left,4,fluvial_scour,plus4K,41,0
Satsunai,left,4,overflow,plus4K,41.2,1
Satsunai,left,4,fluvial_scour,plus4K,41.2,0
Satsunai,left,4,overflow,plus4K,41.4,1
Satsunai,left,4,fluvial_scour,plus4K,41.4,0
Satsunai,left,4,overflow,plus4K,41.6,1
Satsunai,left,4,fluvial_scour,plus4K,41.6,0
Satsunai,left,4,overflow,plus4K,41.8,1
Satsunai,left,4,fluvial_scour,plus4K,41.8,0
